Volcano_Number,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type
221040,Alid,Stratovolcano,Eritrea,Eastern Africa Volcanic Regions,14.8800,39.9200,904,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221050,Gada Ale,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.9750,40.4080,287,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221060,Alu-Dalafilla,Fissure vent(s),Ethiopia,Eastern Africa Volcanic Regions,13.7930,40.5530,578,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221071,Bora Ale,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.7250,40.6000,668,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221080,Erta Ale,Shield,Ethiopia,Eastern Africa Volcanic Regions,13.6010,40.6660,585,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221091,Hayli Gubbi,Shield,Ethiopia,Eastern Africa Volcanic Regions,13.5100,40.7220,493,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221090,Ale Bagu,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.5120,40.6310,988,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221101,Nabro,Stratovolcano,Eritrea,Eastern Africa Volcanic Regions,13.3700,41.7000,2218,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Trachyte / Trachydacite
221102,Mallahle,Stratovolcano,Ethiopia-Eritrea,Eastern Africa Volcanic Regions,13.2700,41.6500,1875,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Trachyte / Trachydacite
221103,Sork Ale,Stratovolcano,Ethiopia-Eritrea,Eastern Africa Volcanic Regions,13.1800,41.7250,1611,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Basalt / Picro-Basalt
221104,Asavyo,Shield,Ethiopia,Eastern Africa Volcanic Regions,13.0980,41.5990,1338,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221105,Mat Ala,Shield,Ethiopia,Eastern Africa Volcanic Regions,13.1060,41.1610,493,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221106,Tat Ali,Shield,Ethiopia,Eastern Africa Volcanic Regions,13.2840,41.0630,655,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221107,Borawli,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.3040,40.9870,784,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221100,Dubbi,Stratovolcano,Eritrea,Eastern Africa Volcanic Regions,13.5790,41.8090,1625,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221111,Ma Alalta,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.0130,40.1850,1745,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221112,Alayta,Shield,Ethiopia,Eastern Africa Volcanic Regions,12.8880,40.5730,1496,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221113,Dabbahu,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,12.5950,40.4800,1401,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221114,Dabbayra,Shield,Ethiopia,Eastern Africa Volcanic Regions,12.3800,40.0700,1302,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221115,Manda Hararo,Shield(s),Ethiopia,Eastern Africa Volcanic Regions,12.1700,40.8200,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221116,Groppo,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,11.8160,40.2420,852,Rift zone / Intermediate crust (15-25 km),Evidence Credible,
221110,Afdera,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,13.0880,40.8530,1250,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Rhyolite
221127,Manda Gargori,Fissure vent(s),Ethiopia,Eastern Africa Volcanic Regions,11.7500,41.4800,700,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221122,Manda-Inakir,Fissure vent(s),Ethiopia-Djibouti,Eastern Africa Volcanic Regions,12.3800,42.2000,600,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221123,Mousa Alli,Stratovolcano,Ethiopia-Eritrea-Djibouti,Eastern Africa Volcanic Regions,12.4690,42.4040,1993,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221124,Gufa,Volcanic field,Eritrea-Djibouti,Eastern Africa Volcanic Regions,12.5500,42.5300,600,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221125,Assab Volcanic Field,Volcanic field,Eritrea,Eastern Africa Volcanic Regions,12.9500,42.4300,987,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221126,Ardoukoba,Fissure vent(s),Djibouti,Eastern Africa Volcanic Regions,11.5800,42.4700,298,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221120,Kurub,Shield,Ethiopia,Eastern Africa Volcanic Regions,11.8800,41.2080,625,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221141,Dama Ali,Shield,Ethiopia,Eastern Africa Volcanic Regions,11.2800,41.6300,1068,Rift zone / Intermediate crust (15-25 km),Eruption Observed,Basalt / Picro-Basalt
221151,Yangudi,Complex,Ethiopia,Eastern Africa Volcanic Regions,10.5800,41.0420,1383,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221150,Gabillema,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,11.0800,41.2700,1459,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221160,Ayelu,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,10.0820,40.7020,2145,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221171,Hertali,Fissure vent,Ethiopia,Eastern Africa Volcanic Regions,9.7800,40.3300,900,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Basalt / Picro-Basalt
221172,Liado Hayk,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,9.5700,40.2800,878,Rift zone / Continental crust (> 25 km),Evidence Uncertain,No Data (checked)
221170,Adwa,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,10.0630,40.8310,1670,Rift zone / Intermediate crust (15-25 km),Evidence Credible,Rhyolite
221180,Dofen,Shield,Ethiopia,Eastern Africa Volcanic Regions,9.3500,40.1300,1151,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
221191,Beru,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,8.9500,39.7500,1100,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221190,Fentale,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,8.9850,39.9060,2007,Rift zone / Continental crust (> 25 km),Eruption Observed,Rhyolite
221200,Kone,Caldera(s),Ethiopia,Eastern Africa Volcanic Regions,8.8105,39.6946,1380,Rift zone / Continental crust (> 25 km),Eruption Observed,Rhyolite
221210,Boset,Stratovolcano(es),Ethiopia,Eastern Africa Volcanic Regions,8.5580,39.4750,2447,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
221220,Bishoftu Volcanic Field,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,8.7800,38.9800,1850,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221222,Melkassa,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,8.4300,39.3500,1765,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221230,Gedemsa,Caldera,Ethiopia,Eastern Africa Volcanic Regions,8.3630,39.1720,1909,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
221250,Bora-Bericha-Tullu Moye,Pyroclastic cone,Ethiopia,Eastern Africa Volcanic Regions,8.2114,39.0812,2345,Rift zone / Continental crust (> 25 km),Eruption Observed,Rhyolite
221251,Unnamed,Fissure vent(s),Ethiopia,Eastern Africa Volcanic Regions,8.0130,39.0620,1886,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221252,East Ziway,Fissure vent(s),Ethiopia,Eastern Africa Volcanic Regions,7.8740,38.9020,1889,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221260,Butajiri-Silti Field,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,8.0500,38.3500,2281,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
221270,Aluto,Stratovolcano,Ethiopia,Eastern Africa Volcanic Regions,7.7700,38.7800,2335,Rift zone / Continental crust (> 25 km),Eruption Dated,Rhyolite
221280,Shala,Caldera,Ethiopia,Eastern Africa Volcanic Regions,7.4569,38.5571,2075,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
221290,Corbetti,Caldera,Ethiopia,Eastern Africa Volcanic Regions,7.1930,38.3900,2289,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
221291,Bilate River Field,Volcanic field,Ethiopia,Eastern Africa Volcanic Regions,7.0700,38.1000,1700,Intraplate / Continental crust (> 25 km),Unrest / Holocene,No Data (checked)
221320,Korath Range,Tuff cone(s),Ethiopia,Eastern Africa Volcanic Regions,5.1170,35.8920,912,Rift zone / Intermediate crust (15-25 km),Evidence Uncertain,Trachybasalt / Tephrite Basanite
222001,Lake Turkana North Island,Tuff cone(s),Kenya,Eastern Africa Volcanic Regions,4.0631,36.0458,490,Rift zone / Continental crust (> 25 km),Evidence Credible,Trachyandesite / Basaltic Trachyandesite
222010,Lake Turkana Central Island,Tuff cone(s),Kenya,Eastern Africa Volcanic Regions,3.4960,36.0365,518,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
222021,Marsabit,Shield,Kenya,Eastern Africa Volcanic Regions,2.3200,37.9700,1707,Rift zone / Continental crust (> 25 km),Evidence Uncertain,Basalt / Picro-Basalt
222020,Lake Turkana South Island,Stratovolcano,Kenya,Eastern Africa Volcanic Regions,2.6364,36.5958,800,Rift zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
222030,"Barrier, The",Shield,Kenya,Eastern Africa Volcanic Regions,2.3200,36.5700,1032,Rift zone / Continental crust (> 25 km),Eruption Observed,Trachyte / Trachydacite
222040,Namarunu,Shield,Kenya,Eastern Africa Volcanic Regions,1.9800,36.4300,817,Rift zone / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
222050,Segererua Plateau,Pyroclastic cone(s),Kenya,Eastern Africa Volcanic Regions,1.5700,37.9000,699,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
222051,Emuruangogolak,Shield,Kenya,Eastern Africa Volcanic Regions,1.5000,36.3300,1285,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222052,Silali,Shield,Kenya,Eastern Africa Volcanic Regions,1.1500,36.2300,1528,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222053,Paka,Shield,Kenya,Eastern Africa Volcanic Regions,0.9200,36.1800,1697,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222054,Korosi,Shield,Kenya,Eastern Africa Volcanic Regions,0.7700,36.1200,1446,Rift zone / Continental crust (> 25 km),Evidence Credible,Trachyte / Trachydacite
222055,Ol Kokwe,Shield,Kenya,Eastern Africa Volcanic Regions,0.6200,36.0750,1130,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
222056,Nyambeni Hills,Shield,Kenya,Eastern Africa Volcanic Regions,0.2300,37.8700,750,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
222060,Menengai,Shield,Kenya,Eastern Africa Volcanic Regions,-0.2000,36.0700,2278,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222071,Elmenteita Badlands,Pyroclastic cone(s),Kenya,Eastern Africa Volcanic Regions,-0.5460,36.2490,2126,Rift zone / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
222070,Homa Mountain,Complex,Kenya,Eastern Africa Volcanic Regions,-0.3800,34.5000,1751,Rift zone / Continental crust (> 25 km),Evidence Credible,Foidite
222080,"Eburru, Ol Doinyo",Complex,Kenya,Eastern Africa Volcanic Regions,-0.6500,36.2200,2856,Rift zone / Continental crust (> 25 km),Evidence Credible,Rhyolite
222090,Olkaria,Pyroclastic cone(s),Kenya,Eastern Africa Volcanic Regions,-0.9040,36.2920,2434,Rift zone / Continental crust (> 25 km),Eruption Dated,Rhyolite
222100,Longonot,Stratovolcano,Kenya,Eastern Africa Volcanic Regions,-0.9140,36.4460,2776,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222110,Suswa,Shield,Kenya,Eastern Africa Volcanic Regions,-1.1510,36.3570,2356,Rift zone / Continental crust (> 25 km),Evidence Credible,Phonolite
222120,"Lengai, Ol Doinyo",Stratovolcano,Tanzania,Eastern Africa Volcanic Regions,-2.7640,35.9140,2962,Rift zone / Continental crust (> 25 km),Eruption Observed,Foidite
222130,Chyulu Hills,Volcanic field,Kenya,Eastern Africa Volcanic Regions,-2.6800,37.8800,2188,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachybasalt / Tephrite Basanite
222161,Igwisi Hills,Pyroclastic cone(s),Tanzania,Eastern Africa Volcanic Regions,-4.8890,31.9330,1146,Rift zone / Continental crust (> 25 km),Eruption Dated,Foidite
222164,Ngozi,Caldera,Tanzania,Eastern Africa Volcanic Regions,-9.0036,33.5520,2614,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222166,Rungwe,Stratovolcano,Tanzania,Eastern Africa Volcanic Regions,-9.1350,33.6680,2953,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachyte / Trachydacite
222160,Meru,Stratovolcano,Tanzania,Eastern Africa Volcanic Regions,-3.2440,36.7500,4550,Rift zone / Continental crust (> 25 km),Eruption Observed,Phonolite
222170,Kyejo,Stratovolcano,Tanzania,Eastern Africa Volcanic Regions,-9.2290,33.7920,2176,Rift zone / Continental crust (> 25 km),Eruption Observed,Trachyte / Trachydacite
223001,Fort Portal,Volcanic field,Uganda,Eastern Africa Volcanic Regions,0.7000,30.2500,1615,Rift zone / Continental crust (> 25 km),Eruption Dated,Foidite
223002,Kyatwa,Volcanic field,Uganda,Eastern Africa Volcanic Regions,0.4500,30.2500,1430,Rift zone / Continental crust (> 25 km),Evidence Uncertain,Foidite
223003,Katwe-Kikorongo,Volcanic field,Uganda,Eastern Africa Volcanic Regions,-0.0800,29.9200,1067,Rift zone / Continental crust (> 25 km),Evidence Credible,Foidite
223004,Bunyaruguru,Volcanic field,Uganda,Eastern Africa Volcanic Regions,-0.2000,30.0800,1554,Rift zone / Continental crust (> 25 km),Evidence Credible,Foidite
223005,Katunga,Volcanic field,Uganda,Eastern Africa Volcanic Regions,-0.4710,30.1910,1707,Rift zone / Continental crust (> 25 km),Evidence Credible,Foidite
223020,Nyamulagira,Shield,DR Congo,Eastern Africa Volcanic Regions,-1.4080,29.2000,3058,Rift zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
223030,Nyiragongo,Stratovolcano,DR Congo,Eastern Africa Volcanic Regions,-1.5200,29.2500,3470,Rift zone / Continental crust (> 25 km),Eruption Observed,Foidite
223040,Karisimbi,Stratovolcano,DR Congo-Rwanda,Eastern Africa Volcanic Regions,-1.5060,29.4500,4490,Rift zone / Continental crust (> 25 km),Eruption Dated,Trachybasalt / Tephrite Basanite
223050,Visoke,Stratovolcano,DR Congo-Rwanda,Eastern Africa Volcanic Regions,-1.4580,29.4850,3696,Rift zone / Continental crust (> 25 km),Eruption Observed,Trachyandesite / Basaltic Trachyandesite
223060,Muhavura,Stratovolcano,Uganda-Rwanda,Eastern Africa Volcanic Regions,-1.3830,29.6780,4103,Rift zone / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
223070,Bufumbira,Volcanic field,Uganda,Eastern Africa Volcanic Regions,-1.3040,29.6830,2100,Rift zone / Continental crust (> 25 km),Evidence Uncertain,Phono-tephrite /  Tephri-phonolite
224002,San Carlos,Shield,Equatorial Guinea,Northern Africa Volcanic Regions,3.3500,8.5200,2260,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
224003,San Joaquin,Shield,Equatorial Guinea,Northern Africa Volcanic Regions,3.3500,8.6300,2009,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
224004,Santa Isabel,Shield,Equatorial Guinea,Northern Africa Volcanic Regions,3.5880,8.7620,2999,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
224011,Tombel Graben,Volcanic field,Cameroon,Northern Africa Volcanic Regions,4.7580,9.7170,500,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
224010,Cameroon,Stratovolcano,Cameroon,Northern Africa Volcanic Regions,4.2030,9.1700,4095,Intraplate / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite
224030,Oku Volcanic Field,Volcanic field,Cameroon,Northern Africa Volcanic Regions,6.2500,10.5000,3011,Intraplate / Continental crust (> 25 km),Evidence Uncertain,Basalt / Picro-Basalt
225001,Todra Volcanic Field,Volcanic field,Niger,Northern Africa Volcanic Regions,17.6800,8.5000,1780,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
225004,Tahalra Volcanic Field,Volcanic field,Algeria,Northern Africa Volcanic Regions,22.6700,5.0000,1467,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
225005,Atakor Volcanic Field,Volcanic field,Algeria,Northern Africa Volcanic Regions,23.3300,5.8300,2918,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
225006,Manzaz Volcanic Field,Volcanic field,Algeria,Northern Africa Volcanic Regions,23.9200,5.8300,1672,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachybasalt / Tephrite Basanite
225009,"Toh, Tarso",Volcanic field,Chad,Northern Africa Volcanic Regions,21.3300,16.3300,2000,Intraplate / Continental crust (> 25 km),Evidence Credible,Basalt / Picro-Basalt
225010,"Tousside, Tarso",Stratovolcano,Chad,Northern Africa Volcanic Regions,21.0300,16.4500,3265,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachyte / Trachydacite
225021,"Koussi, Emi",Shield(pyroclastic),Chad,Northern Africa Volcanic Regions,19.8000,18.5300,3415,Intraplate / Continental crust (> 25 km),Evidence Credible,Trachyte / Trachydacite
225020,"Voon, Tarso",Stratovolcano,Chad,Northern Africa Volcanic Regions,20.9200,17.2800,3100,Intraplate / Continental crust (> 25 km),Unrest / Holocene,Trachyte / Trachydacite
225030,"Marra, Jebel",Volcanic field,Sudan,Northern Africa Volcanic Regions,12.9500,24.2700,3042,Intraplate / Continental crust (> 25 km),Eruption Dated,Basalt / Picro-Basalt
225040,Kutum Volcanic Field,Volcanic field,Sudan,Northern Africa Volcanic Regions,14.5700,25.8500,1779,Intraplate / Continental crust (> 25 km),Evidence Uncertain,Basalt / Picro-Basalt
225050,Meidob Volcanic Field,Volcanic field,Sudan,Northern Africa Volcanic Regions,15.3200,26.4700,2000,Intraplate / Continental crust (> 25 km),Eruption Dated,Trachybasalt / Tephrite Basanite
225060,Bayuda Volcanic Field,Volcanic field,Sudan,Northern Africa Volcanic Regions,18.3300,32.7500,670,Intraplate / Continental crust (> 25 km),Eruption Dated,Trachybasalt / Tephrite Basanite
231001,"Ash Shaam, Harrat",Volcanic field,Syria-Jordan-Saudi Arabia,Arabia-Central Asia Volcanic Regions,32.3330,37.5830,1100,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
231040,"Lunayyir, Harrat",Volcanic field,Saudi Arabia,Arabia-Central Asia Volcanic Regions,25.1700,37.7500,1370,Intraplate / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt
