,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
186,357040,289.432,-35.223,Planchon-Peteroa,Stratovolcano(es),Chile,South America Volcanic Regions,-35.223,-70.568,3977,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-70.568 -35.223),Cluster_1
187,357070,288.622,-36.868,"Chillan, Nevados de",Stratovolcano(es),Chile,South America Volcanic Regions,-36.868,-71.378,3180,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2022,POINT (-71.378 -36.868),Cluster_1
188,357091,288.55,-37.92,Callaqui,Stratovolcano(es),Chile,South America Volcanic Regions,-37.92,-71.45,3164,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1980,POINT (-71.45 -37.92),Cluster_1
189,357090,288.817,-37.856,Copahue,Stratovolcano(es),Chile-Argentina,South America Volcanic Regions,-37.856,-71.183,2953,Subduction zone / Continental crust (> 25 km),Eruption Observed,Trachybasalt / Tephrite Basanite,True,2019,POINT (-71.183 -37.856),Cluster_1
190,357100,288.414,-38.379,Lonquimay,Stratovolcano(es),Chile,South America Volcanic Regions,-38.379,-71.586,2832,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1990,POINT (-71.586 -38.379),Cluster_1
191,357110,288.271,-38.692,Llaima,Stratovolcano(es),Chile,South America Volcanic Regions,-38.692,-71.729,3125,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2009,POINT (-71.729 -38.692),Cluster_1
192,357120,288.07,-39.42,Villarrica,Stratovolcano(es),Chile,South America Volcanic Regions,-39.42,-71.93,2847,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2024,POINT (-71.93 -39.42),Cluster_1
193,357140,287.93,-40.35,Carran-Los Venados,Cone(s),Chile,South America Volcanic Regions,-40.35,-72.07,1114,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,1979,POINT (-72.07 -40.35),Cluster_1
194,357150,287.883,-40.59,Puyehue-Cordon Caulle,Stratovolcano(es),Chile,South America Volcanic Regions,-40.59,-72.117,2236,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2012,POINT (-72.117 -40.59),Cluster_1
195,358020,287.382,-41.33,Calbuco,Stratovolcano(es),Chile,South America Volcanic Regions,-41.33,-72.618,1974,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2015,POINT (-72.618 -41.33),Cluster_1
196,358041,287.34860000000003,-42.8349,Chaiten,Caldera,Chile,South America Volcanic Regions,-42.8349,-72.6514,1122,Subduction zone / Continental crust (> 25 km),Eruption Observed,Rhyolite,True,2011,POINT (-72.6514 -42.8349),Cluster_1
197,358057,287.03,-45.9,"Hudson, Cerro",Stratovolcano(es),Chile,South America Volcanic Regions,-45.9,-72.97,1905,Subduction zone / Continental crust (> 25 km),Eruption Observed,Basalt / Picro-Basalt,True,2011,POINT (-72.97 -45.9),Cluster_1
198,358060,286.496,-49.019,Lautaro,Stratovolcano(es),Chile,South America Volcanic Regions,-49.019,-73.504,3542,Subduction zone / Continental crust (> 25 km),Eruption Observed,Dacite,True,1979,POINT (-73.504 -49.019),Cluster_1
