,Unnamed: 0,Volcano_Number,geo_x,geo_y,Volcano_Name,Primary_Volcano_Type,Country,Region,Latitude,Longitude,Elevation,Tectonic_Setting,Evidence_Category,Major_Rock_Type,Erupting,Last_Activity_Year,geometry,region_name
19,166,345070,276.233,10.025,Turrialba,Stratovolcano(es),Costa Rica,Middle America-Caribbean Volcanic Regions,10.025,-83.767,3340,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2019,POINT (-83.767 10.025),Cluster_3
20,167,351020,284.676,4.892,"Ruiz, Nevado del",Stratovolcano(es),Colombia,South America Volcanic Regions,4.892,-75.324,5279,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-75.324 4.892),Cluster_3
21,168,351050,283.97,2.93,"Huila, Nevado del",Stratovolcano(es),Colombia,South America Volcanic Regions,2.93,-76.03,5364,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2012,POINT (-76.03 2.93),Cluster_3
22,169,351060,283.6,2.32,Purace,Stratovolcano(es),Colombia,South America Volcanic Regions,2.32,-76.4,4650,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,1977,POINT (-76.4 2.32),Cluster_3
23,170,351080,282.63,1.22,Galeras,Complex,Colombia,South America Volcanic Regions,1.22,-77.37,4276,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2014,POINT (-77.37 1.22),Cluster_3
24,171,352010,282.344,-0.077,Reventador,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.077,-77.656,3562,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-77.656 -0.077),Cluster_3
25,172,352020,281.402,-0.171,Guagua Pichincha,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.171,-78.598,4784,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2009,POINT (-78.598 -0.171),Cluster_3
26,173,352050,281.564,-0.677,Cotopaxi,Stratovolcano(es),Ecuador,South America Volcanic Regions,-0.677,-78.436,5911,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2016,POINT (-78.436 -0.677),Cluster_3
27,174,352080,281.558,-1.467,Tungurahua,Stratovolcano(es),Ecuador,South America Volcanic Regions,-1.467,-78.442,5023,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2016,POINT (-78.442 -1.467),Cluster_3
28,175,352090,281.659,-2.005,Sangay,Stratovolcano(es),Ecuador,South America Volcanic Regions,-2.005,-78.341,5286,Subduction zone / Continental crust (> 25 km),Eruption Observed,Andesite / Basaltic Andesite,True,2024,POINT (-78.341 -2.005),Cluster_3
